Gesture Number,Duration (s),Timestamp,Severity Level
1,0.170544,04-11-2025 23:20,2
2,0.113401,04-11-2025 23:20,2
3,0.11322,04-11-2025 23:20,2
4,0.084675,04-11-2025 23:20,2
5,0.10878,04-11-2025 23:20,2
6,0.056193,04-11-2025 23:20,2
7,0.057186,04-11-2025 23:20,2
8,0.055844,04-11-2025 23:20,2
9,0.092756,04-11-2025 23:20,2
10,0.056366,04-11-2025 23:20,2
11,0.083621,04-11-2025 23:20,2
12,0.055675,04-11-2025 23:20,2
13,0.086425,04-11-2025 23:20,2
14,0.056313,04-11-2025 23:20,2
15,0.084001,04-11-2025 23:20,2
16,0.085576,04-11-2025 23:20,2
17,0.055939,04-11-2025 23:20,2
18,0.055861,04-11-2025 23:20,2
1,0.117069,04-11-2025 23:19,0
2,0.086866,04-11-2025 23:19,0
3,0.114933,04-11-2025 23:19,0
4,0.087891,04-11-2025 23:19,0
5,0.0625,04-11-2025 23:19,0
6,0.087266,04-11-2025 23:19,0
7,0.08703,04-11-2025 23:19,0
8,0.057697,04-11-2025 23:19,0
9,0.086339,04-11-2025 23:19,0
10,0.086246,04-11-2025 23:19,0
11,0.088996,04-11-2025 23:19,0
12,0.088533,04-11-2025 23:19,0
13,0.087429,04-11-2025 23:19,0
14,0.065717,04-11-2025 23:19,0
15,0.085852,04-11-2025 23:19,0
1,0.065856,04-11-2025 23:19,1
2,0.053345,04-11-2025 23:19,1
3,0.08856,04-11-2025 23:19,1
4,0.028435,04-11-2025 23:19,1
5,0.067025,04-11-2025 23:19,1
6,0.030127,04-11-2025 23:19,1
7,0.069762,04-11-2025 23:19,1
8,0.058122,04-11-2025 23:19,1
9,0.056515,04-11-2025 23:19,1
10,0.037158,04-11-2025 23:19,1
11,0.028907,04-11-2025 23:19,1
12,0.029256,04-11-2025 23:19,1
13,0.030114,04-11-2025 23:19,1
14,0.028644,04-11-2025 23:19,1
15,0.028847,04-11-2025 23:19,1
1,0.05831,04-11-2025 23:19,0
2,0.200783,04-11-2025 23:19,0
3,0.028078,04-11-2025 23:19,0
4,0.028067,04-11-2025 23:19,0
5,0.051833,04-11-2025 23:19,0
1,0.099595,04-11-2025 23:03,0
2,0.028686,04-11-2025 23:03,0
3,0.056315,04-11-2025 23:03,0
4,0.056626,04-11-2025 23:03,0
5,0.05612,04-11-2025 23:03,0
6,0.057347,04-11-2025 23:03,0
7,0.058387,04-11-2025 23:03,0
8,0.057455,04-11-2025 23:03,0
9,0.06282,04-11-2025 23:03,0
10,0.057882,04-11-2025 23:03,0
11,0.057223,04-11-2025 23:03,0
12,0.028689,04-11-2025 23:03,0
13,0.057286,04-11-2025 23:03,0
14,0.056772,04-11-2025 23:03,0
1,0.148922,04-11-2025 23:03,1
2,0.08938,04-11-2025 23:03,1
3,0.086312,04-11-2025 23:03,1
4,0.085284,04-11-2025 23:03,1
5,0.085362,04-11-2025 23:03,1
6,0.113126,04-11-2025 23:03,1
7,0.114143,04-11-2025 23:03,1
8,0.085328,04-11-2025 23:03,1
9,0.085735,04-11-2025 23:03,1
10,0.087,04-11-2025 23:03,1
11,0.086106,04-11-2025 23:03,1
12,0.084915,04-11-2025 23:03,1
13,0.085334,04-11-2025 23:03,1
14,0.113843,04-11-2025 23:03,1
15,0.11363,04-11-2025 23:03,1
16,0.085805,04-11-2025 23:03,1
17,0.113438,04-11-2025 23:03,1
1,0.057857,04-11-2025 23:04,0
2,0.056816,04-11-2025 23:04,0
3,0.056466,04-11-2025 23:04,0
4,0.085138,04-11-2025 23:04,0
5,0.084286,04-11-2025 23:04,0
6,0.058901,04-11-2025 23:04,0
7,0.056946,04-11-2025 23:04,0
8,0.086902,04-11-2025 23:04,0
9,0.056992,04-11-2025 23:04,0
10,0.058082,04-11-2025 23:04,0
11,0.056871,04-11-2025 23:04,0
12,0.056699,04-11-2025 23:04,0
13,0.089784,04-11-2025 23:04,0
14,0.084544,04-11-2025 23:04,0
15,0.086193,04-11-2025 23:04,0
1,0.068092,04-11-2025 23:04,0
2,0.028882,04-11-2025 23:04,0
3,0.028305,04-11-2025 23:04,0
4,0.028586,04-11-2025 23:04,0
5,0.05877,04-11-2025 23:04,0
6,0.028671,04-11-2025 23:04,0
7,0.028399,04-11-2025 23:04,0
8,0.058007,04-11-2025 23:04,0
9,0.029537,04-11-2025 23:04,0
10,0.058164,04-11-2025 23:04,0
11,0.058532,04-11-2025 23:04,0
12,0.086824,04-11-2025 23:04,0
13,0.086656,04-11-2025 23:04,0
1,0.153018,04-11-2025 23:05,1
2,0.086843,04-11-2025 23:05,1
3,0.085243,04-11-2025 23:05,1
4,0.091369,04-11-2025 23:05,1
5,0.056215,04-11-2025 23:05,1
6,0.057074,04-11-2025 23:05,1
7,0.056733,04-11-2025 23:05,1
8,0.05649,04-11-2025 23:05,1
9,0.056324,04-11-2025 23:05,1
10,0.057094,04-11-2025 23:05,1
11,0.085447,04-11-2025 23:05,1
12,0.057935,04-11-2025 23:05,1
13,0.05723,04-11-2025 23:05,1
14,0.057591,04-11-2025 23:05,1
15,0.113102,04-11-2025 23:05,1
1,0.029305,04-11-2025 23:05,1
2,0.118986,04-11-2025 23:05,1
3,0.145849,04-11-2025 23:05,1
4,0.02933,04-11-2025 23:05,1
5,0.028436,04-11-2025 23:05,1
1,0.116106,04-11-2025 23:06,1
2,0.067234,04-11-2025 23:06,1
3,0.067427,04-11-2025 23:06,1
4,0.084724,04-11-2025 23:06,1
5,0.066743,04-11-2025 23:06,1
6,0.067006,04-11-2025 23:06,1
7,0.058028,04-11-2025 23:06,1
8,0.098088,04-11-2025 23:06,1
9,0.060369,04-11-2025 23:06,1
10,0.065517,04-11-2025 23:06,1
11,0.056071,04-11-2025 23:06,1
12,0.057404,04-11-2025 23:06,1
13,0.057237,04-11-2025 23:06,1
14,0.06855,04-11-2025 23:06,1
15,0.056132,04-11-2025 23:06,1
16,0.027682,04-11-2025 23:06,1
17,0.066849,04-11-2025 23:06,1
18,0.057879,04-11-2025 23:06,1
19,0.057752,04-11-2025 23:06,1
1,0.12528,04-11-2025 23:07,1
2,0.112959,04-11-2025 23:07,1
3,0.120125,04-11-2025 23:07,1
4,0.14131,04-11-2025 23:07,1
5,0.111542,04-11-2025 23:07,1
6,0.138828,04-11-2025 23:07,1
7,0.12136,04-11-2025 23:07,1
8,0.11444,04-11-2025 23:07,1
9,0.122883,04-11-2025 23:07,1
10,0.12097,04-11-2025 23:07,1
11,0.148853,04-11-2025 23:07,1
12,0.11303,04-11-2025 23:07,1
1,0.112503,04-11-2025 23:07,0
2,0.085601,04-11-2025 23:07,0
3,0.11149,04-11-2025 23:07,0
4,0.083968,04-11-2025 23:07,0
5,0.112172,04-11-2025 23:07,0
6,0.124015,04-11-2025 23:07,0
7,0.113922,04-11-2025 23:07,0
8,0.111818,04-11-2025 23:07,0
9,0.114222,04-11-2025 23:07,0
10,0.091813,04-11-2025 23:07,0
11,0.15064,04-11-2025 23:07,0
12,0.085224,04-11-2025 23:07,0
13,0.084887,04-11-2025 23:07,0
14,0.085524,04-11-2025 23:07,0
1,0.089982,04-11-2025 23:08,0
2,0.028126,04-11-2025 23:08,0
3,0.057476,04-11-2025 23:08,0
4,0.014533,04-11-2025 23:08,0
5,0.028114,04-11-2025 23:08,0
6,0.03791,04-11-2025 23:08,0
7,0.028461,04-11-2025 23:08,0
8,0.066105,04-11-2025 23:08,0
9,0.028871,04-11-2025 23:08,0
10,0.057466,04-11-2025 23:08,0
1,0.088301,04-11-2025 23:08,0
2,0.02874,04-11-2025 23:08,0
3,0.057265,04-11-2025 23:08,0
4,0.028512,04-11-2025 23:08,0
5,0.028534,04-11-2025 23:08,0
6,0.05658,04-11-2025 23:08,0
7,0.028569,04-11-2025 23:08,0
8,0.028305,04-11-2025 23:08,0
9,0.029075,04-11-2025 23:08,0
10,0.058447,04-11-2025 23:08,0
1,0.015563,04-11-2025 23:09,0
2,0.029243,04-11-2025 23:09,0
3,0.028336,04-11-2025 23:09,0
4,0.028541,04-11-2025 23:09,0
5,0.029059,04-11-2025 23:09,0
6,0.028667,04-11-2025 23:09,0
7,0.028121,04-11-2025 23:09,0
1,0.028323,04-11-2025 23:09,0
2,0.027966,04-11-2025 23:09,0
3,0.028729,04-11-2025 23:09,0
4,0.057132,04-11-2025 23:09,0
5,0.057816,04-11-2025 23:09,0
6,0.028158,04-11-2025 23:09,0
7,0.057847,04-11-2025 23:09,0
8,0.029193,04-11-2025 23:09,0
9,0.060408,04-11-2025 23:09,0
10,0.057126,04-11-2025 23:09,0
11,0.028091,04-11-2025 23:09,0
12,0.058325,04-11-2025 23:10,0
13,0.058503,04-11-2025 23:10,0
1,0.0292,04-11-2025 23:12,1
2,0.028232,04-11-2025 23:12,1
3,0.085281,04-11-2025 23:12,1
4,0.028274,04-11-2025 23:12,1
5,0.086327,04-11-2025 23:12,1
6,0.028887,04-11-2025 23:12,1
7,0.028908,04-11-2025 23:12,1
8,0.057207,04-11-2025 23:12,1
9,0.056617,04-11-2025 23:12,1
10,0.028119,04-11-2025 23:12,1
11,0.059486,04-11-2025 23:12,1
12,0.059075,04-11-2025 23:13,1
13,0.058324,04-11-2025 23:13,1
14,0.028974,04-11-2025 23:13,1
15,0.057301,04-11-2025 23:13,1
1,0.152347,04-11-2025 23:13,1
2,0.087276,04-11-2025 23:13,1
